corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00136776,consolidated,2013,2014,4651181278,-4300314783,native,native
00136776,consolidated,2015,2016,4696799440,-807749148,native,native
00136776,consolidated,2018,2019,6762144490,-6890654882,native,native
00136776,separate,2002,2003,26504385708,932374433,native,native
00136776,separate,2006,2007,12412527766,582143525,native,native
00136864,consolidated,2006,2007,370410238800,3828273137,native,native
00136864,consolidated,2012,2013,135373053906,-2112611511,native,native
00136864,separate,2003,2004,84540126194,1944065695,native,native
00136925,consolidated,2017,2018,39679291734,748455221,native,native
00136925,separate,2007,2008,31484025868,788274484,native,native
00137012,separate,2009,2010,17275132056,1548603680,native,native
00137058,separate,2003,2004,6525985116,1535673691,native,native
00137207,consolidated,2017,2018,19562742584,1958463023,native,native
00137207,separate,2004,2005,20808103609,1274745198,native,native
00137207,separate,2007,2008,16907840105,230010679,native,native
00137234,consolidated,2012,2013,162568185475,6877642549,native,native
00137234,separate,2003,2004,54193719983,587251233,native,native
00137289,separate,2003,2004,19255809000,1501466000,native,native
00137359,consolidated,2006,2007,152647100160,25336800035,native,native
00137359,consolidated,2007,2008,152647100160,25336800035,native,native
00137359,consolidated,2012,2013,56200192070,9012332500,native,native
00137368,consolidated,2012,2013,34372656648,-2736822611,native,native
00137368,separate,2004,2005,13136735000,-2769524000,native,native
00137809,separate,2003,2004,14552251768,1894659603,native,native
00137915,consolidated,2012,2013,20568610832,1995762503,native,native
00137915,separate,2011,2012,26007736922,3710754243,native,native
00138057,consolidated,2012,2013,6679584369,-1072989308,native,native
00138190,separate,2006,2007,247386270063,4457479820,native,native
00138242,consolidated,2012,2013,753583668666,-18034831003,native,native
00138242,separate,2006,2007,833865462148,27946858888,native,native
00138260,consolidated,2012,2013,45645191163,5475714652,native,native
00138260,separate,2003,2004,17572913982,789508425,native,native
00138279,consolidated,2010,2011,6817347000000,647544000000,native,native
00138279,separate,2006,2007,3342939529230,384386479768,native,native
00138297,consolidated,2010,2011,1329909000000,47146000000,native,native
00138297,separate,2007,2008,476025578220,73144723464,native,native
00138303,consolidated,2012,2013,27964157910,-3472628866,native,native
00138303,separate,2003,2004,54753325902,,native,native
00138367,consolidated,2012,2013,3839384468,-809432558,native,native
00138367,separate,2003,2004,2000000,299685000,native,native
00138446,consolidated,2012,2013,49746326245,2039039429,native,native
00138446,separate,2006,2007,45870000000,5736000000,native,native
00138516,consolidated,2012,2013,21872282506,-1473070419,native,native
00138598,consolidated,2012,2013,12421928942,-633029066,native,native
00138598,separate,2004,2005,6581797808,323376435,native,native
00138598,separate,2007,2008,11096271550,1483599855,native,native
