corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00425351,멀티캠퍼스,067280,KOSDAQ,12,2004,2026,23
00422284,메가스터디,072870,KOSDAQ,12,2002,2026,25
01074862,메가스터디교육,215200,KOSDAQ,12,2015,2026,12
00807555,메가엠디,133750,KOSDAQ,12,2013,2026,14
00923516,메가터치,446540,KOSDAQ,12,2021,2026,6
01336373,메드팩토,235980,KOSDAQ,12,2017,2026,10
00273439,메디아나,041920,KOSDAQ,12,1999,2026,25
00267854,메디앙스,014100,KOSDAQ,12,1999,2026,28
00356839,메디콕스,054180,KOSDAQ,12,1999,2026,28
00580199,메디톡스,086900,KOSDAQ,12,2006,2026,21
00453929,메디포스트,078160,KOSDAQ,12,2003,2026,24
01596656,메쎄이상,408920,KOSDAQ,12,2019,2026,8
00136101,메이슨캐피탈,021880,KOSDAQ,3,2001,2026,22
01780608,메쥬,0088M0,KOSDAQ,12,2023,2026,4
00808022,메지온,140410,KOSDAQ,12,2010,2026,17
00652007,메카로,241770,KOSDAQ,12,2015,2026,12
00317681,메타바이오메드,059210,KOSDAQ,12,2006,2026,21
00270113,멕아이씨에스,058110,KOSDAQ,12,2013,2026,14
00583026,멤레이비티,072770,KOSDAQ,12,2005,2026,22
01583652,모니터랩,434480,KOSDAQ,12,2021,2026,6
00480048,모다이노칩,080420,KOSDAQ,12,2003,2026,24
00657783,모델솔루션,417970,KOSDAQ,12,2020,2026,7
00456218,모두투어,080160,KOSDAQ,12,2003,2026,24
00556615,모바일어플라이언스,087260,KOSDAQ,12,2014,2026,13
00498001,모베이스,101330,KOSDAQ,12,2007,2026,20
00137234,모베이스전자,012860,KOSDAQ,12,1999,2026,28
01493535,모비데이즈,363260,KOSDAQ,12,2020,2026,7
01210190,모비릭스,348030,KOSDAQ,12,2018,2026,9
01165155,모비스,250060,KOSDAQ,12,2014,2026,13
01423837,모아데이타,288980,KOSDAQ,12,2019,2026,8
00587925,모아라이프플러스,142760,KOSDAQ,12,2010,2026,17
