rcept_no,corp_code,statement,basis,classification,note
20040413000804,00161781,CF,separate,M2,
20040506000933,00258421,SCE,consolidated,M2,
20040507001302,00406727,APPR,separate,M2,
20040507001302,00406727,CF,separate,M2,
20040510001477,00134176,BS,separate,M2,
20040511000580,00162911,IS,consolidated,M2,
20040512000008,00114792,IS,consolidated,M2,
20040513000424,00156150,CF,separate,M2,
20040513000963,00372882,CF,separate,M2,
20040513001378,00151128,CF,separate,M2,
20040513001378,00151128,IS,separate,M2,
20040513001758,00125974,APPR,separate,M2,
20040514000107,00159254,CF,separate,M2,
20040514000330,00351807,CF,separate,M2,
20040514000508,00101549,CF,separate,M2,
20040514001450,00145880,CF,separate,M2,
20040514001702,00131692,CF,consolidated,M2,
20040514001840,00153393,SCE,consolidated,M2,
20040514002717,00149646,BS,separate,M3,대 차 대 조 표제 44 기 1/4분기 2004. 03. 31 현재제 43 기 2003. 12. 31 현재제 42 기 2002. 12. 31 현
20040514002824,00192499,CF,consolidated,M2,
20040514002824,00192499,SCE,consolidated,M3,연 결 손 익 계 산 서제 13 기 (2003. 1. 1 부터 2003. 12. 31 까지)제 12 기 (2002. 1. 1 부터 2003. 1
20040514003006,00143907,BS,separate,M2,
20040514003333,00126371,CF,separate,M2,
20040514003547,00131780,APPR,separate,M2,
20040514003547,00131780,IS,separate,M2,
20040515000219,00120526,BS,separate,M2,
20040515000282,00384717,CF,separate,M2,
20040515000302,00207375,CF,separate,M2,
20040518000082,00131692,CF,consolidated,M2,
20040521000128,00117212,CF,consolidated,M2,
20040524000033,00406727,APPR,separate,M2,
20040524000033,00406727,CF,separate,M2,
20040527000148,00161781,CF,separate,M2,
20040602000154,00156150,CF,separate,M2,
20040603000023,00207375,CF,separate,M2,
20040618000372,00384717,CF,separate,M2,
20040619000042,00207375,CF,separate,M2,
20040619000043,00143907,BS,separate,M2,
20040621000044,00125974,APPR,separate,M2,
20040621000163,00159254,CF,separate,M2,
20040623000255,00117212,CF,consolidated,M2,
20040624000097,00126371,CF,separate,M2,
20040628000342,00137997,CF,separate,M2,
20040629000118,00112059,APPR,separate,M2,
20040629000362,00112059,APPR,separate,M2,
20040630000091,00145880,CF,separate,M2,
20040726000044,00112059,APPR,separate,M2,
20040812000176,00112059,APPR,separate,M2,
20040813000124,00151298,APPR,separate,M2,
20040813000124,00151298,CF,separate,M2,
20040813000635,00125974,APPR,separate,M2,
20040813000767,00177199,CF,separate,M2,
20040813000786,00129013,IS,separate,M2,
20040813001018,00219361,IS,separate,M2,
20040813001151,00264547,CF,separate,M2,
20040813001252,00152385,IS,separate,sanity_fail_prod_found_decl,손 익 계 산 서제 34 기 반기 (2004. 01. 01 부터 2004. 06. 30 까지)제 33 기 반기 (2003. 01. 01 부터 2
20040813001338,00288343,IS,separate,M2,
20040813001566,00132628,IS,separate,M2,
20040813001659,00153393,SCE,consolidated,M2,
20040813001777,00149646,BS,separate,M3,대 차 대 조 표제 44 기 반기 2004. 06. 30 현재제 43 기 2003. 12. 31 현재제 42 기 2002. 12. 31 현재(단
20040814000052,00115931,CF,separate,M2,
20040814000230,00120526,BS,separate,M2,
20040820000034,00112059,APPR,separate,M2,
20041109000015,00155692,IS,separate,M2,
20041112000012,00151298,CF,separate,M2,
20041112000060,00372882,CF,separate,M2,
20041112000321,00125974,APPR,separate,M2,
20041112000322,00112059,APPR,separate,M2,
20041112000504,00152385,IS,separate,sanity_fail_prod_found_decl,제 34 기 분기 (2004. 07. 01 부터 2004. 09. 30 까지)제 33 기 분기 (2003. 07. 01 부터 2003. 09. 
20041112000548,00141149,CF,separate,M2,
20041112000637,00244783,IS,separate,M2,
20041115000107,00372882,CF,separate,M2,
20041115000198,00115931,CF,separate,M2,
20041115000706,00153393,SCE,consolidated,M2,
20041115001062,00149646,BS,separate,M3,대 차 대 조 표제 44 기 분기 2004. 09. 30 현재제 43 기 2003. 12. 31 현재제 42 기 2002. 12. 31 현재(단
20041203000113,00155692,IS,separate,M2,
20050207000031,00133335,APPR,separate,M2,
20050207000031,00133335,CF,separate,M2,
20050214000053,00110875,CF,separate,M2,
20050214000132,00112059,APPR,separate,M2,
20050214000176,00133335,APPR,separate,M2,
20050214000176,00133335,CF,separate,M2,
20050329001046,00126089,IS,separate,M2,
20050330000004,00126089,IS,separate,M2,
20050330001162,00390365,IS,separate,M2,
20050330001348,00110884,APPR,separate,M2,
20050331000036,00207375,APPR,separate,M2,
20050331000036,00207375,CF,separate,M2,
20050331000036,00207375,IS,separate,M2,
20050331000139,00238153,CF,separate,M2,
20050331000827,00164830,APPR,separate,M2,
20050331000827,00164830,BS,separate,M2,
20050331000874,00101488,APPR,separate,M2,
