corp_code,corp_name,fiscal_year,fiscal_period,basis,field,db_won,report_won,category,evidence_acode
00373571,스타코링크,2026,Q1,consolidated,inventory,2698238597,1320123674,CONCEPT_GAP,ifrs-full_InventoriesTotal
00382199,신한지주,2026,Q1,consolidated,revenue,9315594000000,28492432000000,UNRESOLVED,
00382199,신한지주,2025,FY,consolidated,revenue,35917446000000,64681960000000,UNRESOLVED,
00382199,신한지주,2025,H1,consolidated,revenue,17875327000000,39340056000000,UNRESOLVED,
00382199,신한지주,2025,Q3,consolidated,revenue,26820979000000,48854886000000,UNRESOLVED,
00541437,코렌텍,2025,Q3,consolidated,controlling_ni,3048024663,3098328607,AXIS_EXCLUDED_MAPPED,ifrs-full_ProfitLossAttributableToOwnersOfParent
00410997,누리플랜,2025,Q3,separate,tax_expense,21298905,30076334,UNRESOLVED,
00410997,누리플랜,2025,Q3,consolidated,tax_expense,21298905,-3470646,UNRESOLVED,
00657002,에이디테크놀로지,2024,FY,consolidated,dividends_paid,-923931050,0,UNRESOLVED,
00618410,KS인더스트리,2025,H1,consolidated,tax_expense,4297385,-22090390,UNRESOLVED,
00618410,KS인더스트리,2025,Q3,consolidated,tax_expense,707088,-22090390,UNRESOLVED,
00871833,에스티팜,2025,FY,consolidated,controlling_ni,56093956325,54991748144,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00871833,에스티팜,2025,H1,consolidated,controlling_ni,7135488709,6468502577,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00871833,에스티팜,2025,Q1,consolidated,controlling_ni,1022958102,1043732175,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00871833,에스티팜,2025,Q3,consolidated,controlling_ni,25108144227,24040416222,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
01032486,두산밥캣,2024,FY,consolidated,total_assets,12009612000000,8169804000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,current_assets,4486831000000,3052266000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,cash,1856791000000,1263123000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,inventory,1984984000000,1350329000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,ppe,1652609000000,1124224000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,total_liabilities,5115108000000,3479665000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,current_liabilities,2466757000000,1678066000,UNRESOLVED,
